# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 245                                  -6.485260             0.578234                      -5.907026 
 246                                  -6.486272             0.579234                      -5.907038 
 247                                  -6.487259             0.580215                      -5.907044 
 248                                  -6.488226             0.581180                      -5.907046 
 249                                  -6.489191             0.582146                      -5.907045 
 250                                  -6.490179             0.583131                      -5.907048 
 251                                  -6.491200             0.584146                      -5.907055 
 252                                  -6.492251             0.585190                      -5.907061 
 253                                  -6.493315             0.586247                      -5.907069 
 254                                  -6.494372             0.587293                      -5.907079 
 255                                  -6.495386             0.588300                      -5.907086 
 256                                  -6.496335             0.589238                      -5.907098 
 257                                  -6.497182             0.590075                      -5.907106 
 258                                  -6.497891             0.590776                      -5.907116 
 259                                  -6.498417             0.591298                      -5.907120 
 260                                  -6.498717             0.591600                      -5.907117 
 261                                  -6.498759             0.591652                      -5.907107 
 262                                  -6.498528             0.591441                      -5.907087 
 263                                  -6.498043             0.590979                      -5.907064 
 264                                  -6.497352             0.590307                      -5.907045 
 265                                  -6.496518             0.589491                      -5.907027 
 266                                  -6.495622             0.588613                      -5.907009 
 267                                  -6.494762             0.587763                      -5.906999 
 268                                  -6.494010             0.587022                      -5.906988 
 269                                  -6.493434             0.586451                      -5.906983 
 270                                  -6.493051             0.586074                      -5.906977 
 271                                  -6.492844             0.585869                      -5.906975 
 272                                  -6.492745             0.585768                      -5.906977 
 273                                  -6.492644             0.585663                      -5.906980 
 274                                  -6.492419             0.585429                      -5.906990 
 275                                  -6.491945             0.584949                      -5.906996 
 276                                  -6.491137             0.584140                      -5.906997 
 277                                  -6.489971             0.582980                      -5.906991 
 278                                  -6.488493             0.581515                      -5.906978 
 279                                  -6.486814             0.579855                      -5.906959 
 280                                  -6.485085             0.578153                      -5.906933 
 281                                  -6.483474             0.576566                      -5.906908 
 282                                  -6.482113             0.575225                      -5.906887 
 283                                  -6.481077             0.574199                      -5.906878 
 284                                  -6.480361             0.573489                      -5.906872 
 285                                  -6.479903             0.573030                      -5.906873 
 286                                  -6.479603             0.572718                      -5.906885 
