# Positions of the atoms in each direction in reduced units at the initial state for  Ar
 Atom                                      r(x)                 r(y)                 r(z) 
 588                                   1.679596            -4.198990            -0.839798 
 589                                   1.679596            -5.038789             0.000000 
 590                                   2.519394            -4.198990             0.000000 
 591                                   2.519394            -5.038789             0.839798 
 592                                   1.679596            -4.198990             0.839798 
 593                                   1.679596            -5.038789             1.679596 
 594                                   2.519394            -4.198990             1.679596 
 595                                   2.519394            -5.038789             2.519394 
 596                                   1.679596            -4.198990             2.519394 
 597                                   1.679596            -5.038789             3.359192 
 598                                   2.519394            -4.198990             3.359192 
 599                                   2.519394            -5.038789             4.198990 
 600                                   1.679596            -4.198990             4.198990 
 601                                   1.679596            -3.359192            -5.038789 
 602                                   2.519394            -2.519394            -5.038789 
 603                                   2.519394            -3.359192            -4.198990 
