# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 227                                  -6.554553             0.515888                      -6.038664 
 228                                  -6.556597             0.517898                      -6.038699 
 229                                  -6.558280             0.519547                      -6.038733 
 230                                  -6.559459             0.520691                      -6.038768 
 231                                  -6.560004             0.521199                      -6.038805 
 232                                  -6.559791             0.520950                      -6.038841 
 233                                  -6.558706             0.519832                      -6.038874 
 234                                  -6.556663             0.517756                      -6.038908 
 235                                  -6.553617             0.514663                      -6.038954 
 236                                  -6.549552             0.510548                      -6.039004 
 237                                  -6.544506             0.505464                      -6.039042 
 238                                  -6.538631             0.499538                      -6.039093 
 239                                  -6.532102             0.492968                      -6.039135 
 240                                  -6.525179             0.486015                      -6.039164 
 241                                  -6.518174             0.478989                      -6.039185 
 242                                  -6.511417             0.472219                      -6.039198 
 243                                  -6.505243             0.466029                      -6.039214 
 244                                  -6.499934             0.460705                      -6.039228 
 245                                  -6.495722             0.456472                      -6.039249 
 246                                  -6.492767             0.453477                      -6.039290 
 247                                  -6.491129             0.451787                      -6.039342 
 248                                  -6.490786             0.451392                      -6.039394 
 249                                  -6.491678             0.452226                      -6.039451 
 250                                  -6.493676             0.454187                      -6.039489 
 251                                  -6.496691             0.457151                      -6.039539 
 252                                  -6.500578             0.460998                      -6.039580 
 253                                  -6.505228             0.465610                      -6.039618 
 254                                  -6.510541             0.470883                      -6.039658 
 255                                  -6.516410             0.476717                      -6.039693 
 256                                  -6.522738             0.483014                      -6.039725 
 257                                  -6.529414             0.489666                      -6.039747 
 258                                  -6.536318             0.496550                      -6.039768 
 259                                  -6.543302             0.503519                      -6.039783 
 260                                  -6.550187             0.510399                      -6.039788 
 261                                  -6.556775             0.516996                      -6.039779 
 262                                  -6.562884             0.523102                      -6.039782 
 263                                  -6.568300             0.528505                      -6.039795 
 264                                  -6.572834             0.533014                      -6.039820 
 265                                  -6.576322             0.536473                      -6.039849 
 266                                  -6.578650             0.538786                      -6.039864 
